Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0805,4,10uF,C49010152
C4,0805,1,10pF,C5137467
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,21,D,C917030
F1,1206,1,1.5A,C28326719
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2765186
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED3, LED4, LED5, LED6, LED7, LED8, LED9",MX_SK6812MINI-E_REV,22,SK6803MINI-E-001 LCSC C5242955,C5242955
"MX1, MX2, MX3, MX4, MX5, MX6, MX7, MX8, MX9, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX20, MX21",Hotswap_MX_Plated,21,MX,C5156480
"R1, R2",0805,2,5K1,C2930296
"R3, R4",0805,2,10K,C2930231
SW1,SW_Push_1P1T_NO_CK_KMR2,1,BOOT,C221676
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32F411CEUx,C60420
U2,SOT-23_Handsoldering,1,XC6206PxxxMR-Regulator_Linear,C5446
U3,SOT-23-6_Handsoldering,1,USBLC6-2SC6,C7519
"UNDER1, UNDER10, UNDER11, UNDER12, UNDER2, UNDER3, UNDER4, UNDER5, UNDER6, UNDER7, UNDER8, UNDER9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,12,SK6812MINI LCSC C7423118,C7423118
